Index,Title,Link
0,"  Stroll calls 2020 season a year of ""missed opportunity""  ",https://www.motorsport.com/f1/news/lance-stroll-2020-missed-opportunity/5136074/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
1,  Motorsport Images assists Ferrari in commemorative 1000th GP celebration book  ,https://www.motorsport.com/f1/news/motorsport-images-assists-ferrari-in-commemorative-1000th-gp-celebration-book/4937290/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
2,  Gasly remembers 'every second' of shock Italian GP win  ,https://www.motorsport.com/f1/news/gasly-italian-gp-win-alphatauri/4936779/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
3,  How McLaren triumphed in F1 2020's best battle  ,https://www.motorsport.com/f1/news/how-mclaren-triumphed-in-f1-2020s-best-battle/4934064/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
4,  Russell never on Red Bull F1's radar to replace Albon - Marko  ,https://www.motorsport.com/f1/news/russell-never-red-bull-f1s-radar-marko/4934023/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
5,  Hamilton knighted in Queen’s New Year Honours list  ,https://www.motorsport.com/f1/news/hamilton-knighted-in-uk-queens-new-year-honours-list/4933451/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
6,  Podcast: The best and worst of Formula 1 in 2020  ,https://www.motorsport.com/f1/news/podcast-2020-formula-1-season-review/4931465/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
7,  Sir Frank Williams discharged from hospital  ,https://www.motorsport.com/f1/news/sir-frank-williams-discharged-hospital/4931448/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
8,  How F1's teams developed their cars over 2020  ,https://www.motorsport.com/f1/news/how-f1s-teams-developed-their-cars-over-2020/4931145/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
9,  Did Mercedes sacrifice Abu Dhabi GP pace to exploit test day?  ,https://www.motorsport.com/f1/news/mercedes-test-sacrifice-pace-exploit/4930906/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
10,   The sceptical mindset behind Haas F1's change of course  ,https://www.motorsport.com/f1/news/feature-sceptical-mindset-behind-haas-change-course/4930983/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
11,  Hamilton receives UK’s BBC Sports Personality of the Year  ,https://www.motorsport.com/f1/news/lewis-hamilton-bbc-sports-personality-2020/4930140/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
17,  Perez replaces Albon at Red Bull for 2021 F1 season  ,https://www.motorsport.com/f1/news/perez-red-bull-verstappen-2021/4929130/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
18,  Mercedes hints at imminent Hamilton F1 contract renewal  ,https://www.motorsport.com/f1/news/mercedes-hints-hamilton-f1-contract/4928846/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
19,  How McLaren turned shop floor mutiny into credible recovery  ,https://www.motorsport.com/f1/news/mclaren-f1-mutiny-credible-recovery/4928250/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
20,"  Toto Wolff discusses the future of Formula 1, cost caps and more  ",https://www.motorsport.com/f1/news/mercedes-toto-wolff-future-f1/4927763/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
21,  Ricciardo ponders Abu Dhabi layout change after dull race  ,https://www.motorsport.com/f1/news/ricciardo-abu-dhabi-layout-change/4928026/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
