Index,Title,Link
0,  Bildergalerie: Alle Formel-1-Autos von Sebastian Vettel  ,https://de.motorsport.com/f1/news/bildergalerie-alle-formel-1-autos-von-sebastian-vettel/4330464/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
1,  Fotostrecke: Alle Formel-1-Autos von Ferrari seit 1950  ,https://de.motorsport.com/f1/news/fotostrecke-alle-formel-1-autos-von-ferrari-seit-1950/4326038/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
2,  Wegen Coronakrise: Formel 1 schlittert 2020 in finanziellen Rekordverlust  ,https://de.motorsport.com/f1/news/wegen-coronakrise-formel-1-schlittert-2020-in-finanziellen-rekordverlust-21022609/5497766/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
3,"  Mika Salo rudert zurück: FIA-Ferrari-Aussagen wurden ""missverstanden""  ",https://de.motorsport.com/f1/news/mika-salo-rudert-zurueck-fia-ferrari-aussagen-wurden-missverstanden-21022607/5497006/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
4,"  Strafe in Monza: FIA-Kommissar verrät, wie die Hamilton-Aussprache ablief  ",https://de.motorsport.com/f1/news/strafe-in-monza-fia-kommissar-verraet-wie-die-hamilton-aussprache-ablief-21020906/5369149/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
5,  Was Ferraris Horrorsaison die Motorenhersteller für 2021 lehrt  ,https://de.motorsport.com/f1/news/was-ferraris-horrorsaison-die-motorenhersteller-fuer-2021-lehrt-21020101/5260511/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
6,  AlphaTauri: Hatten 2020 ein schnelleres Auto als Ferrari  ,https://de.motorsport.com/f1/news/alphatauri-hatten-2020-ein-schnelleres-auto-als-ferrari-21012507/5191412/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
7,  Haas-Teamchef über Grosjean: Nicht genügend Anerkennung erfahren  ,https://de.motorsport.com/f1/news/haas-teamchef-ueber-grosjean-nicht-genuegend-anerkennung-erfahren-21012107/5150659/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
8,"  Lance Stroll sieht 2020 trotz der Erfolge als ""Jahr der verpassten Chancen""  ",https://de.motorsport.com/f1/news/lance-stroll-sieht-2020-trotz-der-erfolge-als-jahr-der-verpassten-chancen-21012104/5148209/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
9,  Ohne Handverband: Grosjean zeigt seine Wunden nach dem Feuerunfall  ,https://de.motorsport.com/f1/news/ohne-handverband-grosjean-zeigt-seine-wunden-nach-dem-feuerunfall-21011301/4974896/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formel+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
