Index,Title,Link
0,  Crash de Grosjean : la FIA dévoile son rapport d'enquête  ,https://fr.motorsport.com/f1/news/crash-grosjean-fia-rapport-enquete/5595278/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
1,  Ce qui s'est dit entre Hamilton et les commissaires à Monza  ,https://fr.motorsport.com/f1/news/hamilton-commissaires-monza-revelations/5368371/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
2,  L'audience TV de la F1 s'est plutôt maintenue malgré la crise  ,https://fr.motorsport.com/f1/news/f1-audience-tv-2020-score/5360752/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
3,  La Formule 1 veut deux Grands Prix aux États-Unis  ,https://fr.motorsport.com/f1/news/deux-grands-prix-etats-unis/5343243/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
4,"  Massa se remémore Schumacher, 2008 et son accident  ",https://fr.motorsport.com/f1/news/massa-souvenirs-schumacher-2008-accident/4694686/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
5,  McLaren a demandé les résultats de Brawn GP en soufflerie en 2009  ,https://fr.motorsport.com/f1/news/mclaren-brawn-gp-aide-aerodynamique/4788072/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
6,  GP d'Australie : décision à prendre en juin au plus tard  ,https://fr.motorsport.com/f1/news/gp-australie-decision-juin-2021/5189514/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
7,"  Stroll : ""Beaucoup d'opportunités manquées"" en 2020  ",https://fr.motorsport.com/f1/news/stroll-beaucoup-opportunites-manquees-2020/5147932/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
8,"  Hamilton : Les ingénieurs McLaren ""ne m'ont jamais écouté""  ",https://fr.motorsport.com/f1/news/hamilton-ingenieurs-mclaren-mercedes-ecouter-developpement/4914625/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
9,  F1 2020 : les notes que vous avez attribuées aux pilotes  ,https://fr.motorsport.com/f1/news/f1-2020-notes-pilotes-lecteurs/4967174/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
10,  Les méthodes de travail de Schumacher impressionnent Steiner  ,https://fr.motorsport.com/f1/news/methodes-travail-mick-schumacher-impressionnent-gunther-steiner/4930802/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
