Index,Title,Link
0,"  Podcast: Perez, GP di Sakhir. Quando una vittoria cambia la vita  ",https://it.motorsport.com/f1/news/podcast-perez-gp-di-sakhir-quando-una-vittoria-cambia-la-vita/5508089/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
1,  Alfa Romeo: Kubica sulla C41 domani a Barcellona  ,https://it.motorsport.com/f1/news/f1-alfa-romeo-kubica-sulla-c41-domani-a-barcellona/5487361/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
2,  Nei segreti della Tecnica: Alfa Romeo C39  ,https://it.motorsport.com/f1/news/nei-segreti-della-tecnica-alfa-romeo-c39/5340379/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
3,  Stranezza Ferrari: a Imola il fondo era asimmetrico!  ,https://it.motorsport.com/f1/news/f1-tecnica-stranezza-ferrari-a-imola-il-fondo-era-asimmetrico/5339451/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
4,  Nei segreti della Tecnica: AlphaTauri AT01  ,https://it.motorsport.com/f1/news/nei-segreti-della-tecnica-alphatauri-at01/5228936/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
5,  Ferrari: Sainz debutterà sulla SF71H in cinque giorni di test!  ,https://it.motorsport.com/f1/news/f1-ferrari-sainz-debutta-sulla-sf71h-in-cinque-giorni-di-test/5150029/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
6,  Perez ha provato la Red Bull RB16 al simulatore  ,https://it.motorsport.com/f1/news/f1-perez-ha-provato-la-red-bull-rb16-al-simulatore/5138245/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
7,  F1 2020: una stagione di lotte politiche ed unità tra i team  ,https://it.motorsport.com/f1/news/f1-2020-una-stagione-di-lotte-politiche-ed-unita-tra-i-team/4935675/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
8,  Brivio lascia la Suzuki per diventare il CEO di Alpine F1!  ,https://it.motorsport.com/f1/news/brivio-lascia-la-suzuki-per-diventare-il-ceo-di-alpine-f1/4936990/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
9,  Williams: si apre una nuova era che può portare al successo  ,https://it.motorsport.com/f1/news/williams-si-apre-una-nuova-era-che-puo-portare-al-successo/4934450/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formula+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
