Index,Title,Link
0,  FIA rondt onderzoek crash Grosjean af: Dit veroorzaakte de enorme vlammenzee  ,https://nl.motorsport.com/f1/news/fia-onderzoek-crash-romain-grosjean-bahrein-vlammenzee/5604783/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
1,"  Tost: ""Perez weet dat hij geen kans maakt tegen Verstappen""  ",https://nl.motorsport.com/f1/news/franz-tost-max-verstappen-te-sterk-pierre-gasly-sergio-perez/5544147/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
2,  Ferrari laat motor draaien en prikt datum voor onthulling SF21  ,https://nl.motorsport.com/f1/news/ferrari-presentatie-sf21-teampresentatie-opstarten-motor/5387854/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
3,  F1-coureur Alonso in ziekenhuis na aanrijding op racefiets  ,https://nl.motorsport.com/f1/news/fernando-alonso-ongeluk-fiets-aanrijding-ziekenhuis-alpine/4901071/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
4,  Belangstelling voor Formule 1 neemt weer toe in Nederland  ,https://nl.motorsport.com/f1/news/belangstelling-formule-1-stijgt-nederland-kijkcijfers/5360992/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
5,  Ferrari-topman ontevreden: “Moeten met nederigheid opnieuw beginnen”  ,https://nl.motorsport.com/f1/news/ontevredenheid-ferrari-president-opnieuw-beginnen-nederigheid/5323596/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
6,  Binotto voelt zich gesteund: “Maar krijg niet eeuwig de tijd”  ,https://nl.motorsport.com/f1/news/mattia-binotto-steun-directie-ferrari-lastig-jaar-2020/5272641/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
7,  Tien F1-records die in 2020 werden verbroken  ,https://nl.motorsport.com/f1/news/10-f1-records-die-in-2020-werden-verbroken/5199223/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
8,  F1 stelt besluit over bevriezen motorontwikkeling twee weken uit  ,https://nl.motorsport.com/f1/news/f1-bevriezing-motorontwikkling-red-bull-racing-honda/5207995/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
9,  Stroll baalt van ‘vele gemiste kansen’ tijdens F1-seizoen 2020  ,https://nl.motorsport.com/f1/news/stroll-baalt-van-vele-gemiste-kansen-tijdens-f1-seizoen-2020/5137317/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
10,  FIA deelde in 2020 stuk minder geldboetes uit  ,https://nl.motorsport.com/f1/news/fia-deelde-in-2020-stuk-minder-geldboetes-uit/5136819/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
11,  Geen zorgen om anderhalve testdag voor Aston Martin bij Vettel  ,https://nl.motorsport.com/f1/news/sebastian-vettel-anderhalve-testdag-aston-martin-geen-zorgen/5015876/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
17,  Grosjean heeft geen probleem met vele herhalingen horrorcrash  ,https://nl.motorsport.com/f1/news/romain-grosjean-herhalingen-crash-bahrein-geen-probleem/4967108/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
18,  Latifi reed GP Spanje met amandelontsteking: “Vreesde voor corona”  ,https://nl.motorsport.com/f1/news/nicholas-latifi-moeilijkste-races-2020-ontstoken-amandelen/4960651/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
19,  Zekerheid over Renault-zitje voor 2021 hielp Ocon rust te bewaren  ,https://nl.motorsport.com/f1/news/esteban-ocon-zekerheid-renault-zitje-2021-cyril-abiteboul/4950263/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
20,  Tost: AlphaTauri draaide in 2020 ‘veel beter’ seizoen dan in 2008  ,https://nl.motorsport.com/f1/news/franz-tost-alphatauri-seizoen-2020-pierre-gasly/4948497/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
21,  Hamilton looft mentaal sterke Bottas: “Hij klaagt en zeurt nooit”  ,https://nl.motorsport.com/f1/news/lewis-hamilton-valtteri-bottas-mentaliteit-kwalificatie/4948243/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
22,  Hoe de coronastop heeft bijgedragen aan dominant F1-seizoen Mercedes  ,https://nl.motorsport.com/f1/news/mercedes-wereldkampioen-f1-2020-corona-motor-probleem-australie/4943359/?filters%5Bchampionship%5D%5B0%5D%5Btitle%5D=Formule+1+2020&filters%5Bchampionship%5D%5B0%5D%5Bvalue%5D=2871
