Index,Title,Sentiment,Class,Entity1,Entity2,Entity3,Germany
1,  Bildergalerie: Alle Formel-1-Autos von Sebastian Vettel  ,0.0,Neutral,Vettel,,,Germany
2,  Fotostrecke: Alle Formel-1-Autos von Ferrari seit 1950  ,0.0,Neutral,Ferrari,,,Germany
3,  Wegen Coronakrise: Formel 1 schlittert 2020 in finanziellen Rekordverlust  ,-0.26666666666666666,Negative,,,,Germany
4,"  Mika Salo rudert zurück: FIA-Ferrari-Aussagen wurden ""missverstanden""  ",-0.12777777777777777,Negative,Ferrari,,,Germany
5,"  Strafe in Monza: FIA-Kommissar verrät, wie die Hamilton-Aussprache ablief  ",-0.15957446808510636,Negative,Hamilton,,,Germany
6,  Was Ferraris Horrorsaison die Motorenhersteller für 2021 lehrt  ,0.31,Positive,Ferrari,,,Germany
7,  AlphaTauri: Hatten 2020 ein schnelleres Auto als Ferrari  ,0.49393939393939384,Positive,Ferrari,AlphaTauri,,Germany
8,  Haas-Teamchef über Grosjean: Nicht genügend Anerkennung erfahren  ,0.3,Positive,Grosjean,Haas,,Germany
9,"  Lance Stroll sieht 2020 trotz der Erfolge als ""Jahr der verpassten Chancen""  ",0.19,Positive,Stroll,,,Germany
10,  Ohne Handverband: Grosjean zeigt seine Wunden nach dem Feuerunfall  ,-0.2928571428571428,Negative,Grosjean,,,Germany
11,"  Nach P2 beim F1-Debüt: Magnussen erwartete, um den Titel zu kämpfen  ",0.4375,Positive,Magnussen,,,Germany
12,"  Daniel Ricciardo: Als ich zu Renault kam, war das Team unsicher  ",0.4904761904761904,Positive,Ricciardo,Renault,,Germany
13,"  Romain Grosjean: Für mich okay, wenn alle Videos veröffentlicht werden  ",0.14444444444444446,Neutral,Grosjean,,,Germany
14,  Lance Stroll: 2020er-Erfolge haben Selbstzweifel aus dem Weg geräumt  ,0.38444444444444437,Positive,Stroll,,,Germany
15,  Tost: AlphaTauri-Saison 2020 übertrifft die Erfolge mit Vettel 2008  ,0.7666666666666666,Positive,Vettel,AlphaTauri,,Germany
16,  Nur drei Reifen beim Stopp von Bottas: Ist das eigentlich erlaubt?  ,0.29500000000000004,Positive,Bottas,,,Germany
17,  Rennfahren mit Mandelentzündung: Latifis persönlicher Horror-Grand-Prix  ,-0.2222222222222222,Negative,Latifi,,,Germany
18,  Pierre Gasly: 2020 mein bisher bestes Jahr in der Formel 1  ,0.44411764705882345,Positive,Gasly,,,Germany
19,"  Sainz blickt auf McLaren-Jahre zurück: ""Mehr denn je Spaß am Rennfahren""  ",0.5187499999999999,Positive,Sainz,McLaren,,Germany
20,  Möglichen Sieg verloren: Wie Stroll sein Istanbul-Rennen im Nachhinein sieht  ,0.5076923076923077,Positive,Stroll,,,Germany
21,"  Russell: Durch Rad-an-Rad-Duelle mit Vettel ""drastisch verbessert""  ",0.37142857142857144,Positive,Russell,Vettel,,Germany
22,  Verstappen: Probleme mit dem RB16 in den Medien oft dramatisiert  ,0.05172413793103448,Neutral,Verstappen,,,Germany
23,  Fahrerkleidung in der Formel 1: So überlebte Grosjean den Bahrain-Crash  ,0.021739130434782605,Neutral,Grosjean,,,Germany
24,  Zak Brown: Wie McLaren mit Carlos Sainz umgegangen ist  ,0.6176470588235294,Positive,Sainz,McLaren,,Germany
25,"  AlphaTauri: Mehr Punkte als je zuvor, aber trotzdem nur WM-Siebter  ",0.4733333333333332,Positive,AlphaTauri,,,Germany
26,  Romain Grosjean erklärt: Darum habe ich Kwjat nicht gesehen  ,-0.11935483870967742,Negative,Grosjean,,,Germany
27,"  Nico Rosberg besorgt: Klimakrise die ""größte Bedrohung für die Menschheit""  ",0.584,Positive,,,,Germany
28,  Queen macht es offiziell: Lewis Hamilton ist jetzt ein Sir!  ,0.8352941176470589,Positive,Hamilton,,,Germany
29,  Programm für Silvester: Video-Jahresrückblick mit Surer & Wurz  ,0.48125,Positive,,,,Germany
30,"  Toto Wolff: Neues Motorenreglement bis Mitte 2022 ist ""machbar""  ",0.775,Positive,,,,Germany
31,  McLaren-Bromance: Sainz und Norris über das Geheimnis ihrer Freundschaft  ,0.5956521739130434,Positive,Sainz,Norris,McLaren,Germany
32,"  Helmut Marko exklusiv (3/3): Bottas ist in Bahrain ""Mist zusammengefahren""  ",0.3499999999999999,Positive,Bottas,,,Germany
33,"  Helmut Marko über Daniil Kwjat: ""Kein Thema mehr"" für Red Bull  ",0.2814814814814815,Positive,Red Bull,,,Germany
34,  Jos Verstappen: Le-Mans-Start mit Max nur wenn ich gut genug bin  ,0.7333333333333334,Positive,Verstappen,,,Germany
35,  Andreas Seidl: Warum 2020 für McLaren doppelt anstrengend war  ,0.6863636363636364,Positive,McLaren,,,Germany
36,  Sebastian Vettel: Die Welt sollte mehr auf Greta Thunberg hören  ,0.4166666666666666,Positive,Vettel,,,Germany
37,  Charles Leclerc: 2020 war meine bisher beste Saison in der Formel 1  ,0.5857142857142857,Positive,Leclerc,,,Germany
38,"  Helmut Marko exklusiv (1/3): Eigener Red-Bull-Motor ""bei 80, 85 Prozent""  ",0.27678571428571425,Positive,,,,Germany
39,  Helmut Marko: Daran ist Alexander Albon gescheitert  ,0.10952380952380951,Neutral,Albon,,,Germany
40,  McLaren-Juniorprogramm ohne Fahrer: Was Zak Brown anders macht  ,0.6799999999999999,Positive,McLaren,,,Germany
41,  George Russell: Mein Fahrstil hat mir im Mercedes geschadet  ,0.16785714285714284,Positive,Russell,Mercedes,,Germany
42,  Frank Williams am Heiligabend aus dem Krankenhaus entlassen  ,0.45999999999999996,Positive,Williams,,,Germany
43,  Teamchefs und Fahrer wählen Top-10-Piloten 2020  ,0.6714285714285715,Positive,,,,Germany
44,"  ""Bedeutsamer als sieben WM-Titel"": Ricciardos Geschenk an Hamilton  ",0.2454545454545454,Positive,Hamilton,Ricciardo,,Germany
45,  Donuts in Abu Dhabi: Killer für Getriebe und Motor?  ,0.29999999999999993,Positive,,,,Germany
46,"  Jean Todt: Mercedes' Dominanz ist größer, als unsere bei Ferrari je war  ",0.49,Positive,Mercedes,Ferrari,,Germany
47,"  Piquet jun. über Verstappen: Manchmal muss man arrogant sein, oder?  ",0.5153846153846154,Positive,Verstappen,,,Germany
48,  Wie mit Sainz: McLaren hofft auf regen Austausch zwischen Ricciardo und Norris  ,0.6785714285714285,Positive,Ricciardo,Sainz,Norris,Germany
49,"  Lewis Hamilton: F1-Strafen wie 2020 ""werden nicht wieder passieren""  ",-0.1826086956521739,Negative,Hamilton,,,Germany
50,  Pierre Gasly: 2020 war das aufregendste Jahr meiner Karriere  ,0.7062499999999999,Positive,Gasly,,,Germany
51,  Valtteri Bottas: Wie Pech seinen Formel-1-Titelkampf 2020 beeinträchtigt hat  ,-0.013513513513513492,Negative,Bottas,,,Germany
52,"  Andreas Seidl: Sainz hat bei McLaren alles gelernt, was er für Ferrari braucht  ",0.6461538461538462,Positive,Sainz,McLaren,Ferrari,Germany
53,"  Gerhard Berger: Vettels Abschiedslied war ""eine gute Geste""  ",0.5833333333333333,Positive,Vettel,,,Germany
54,  Valtteri Bottas plant erneute Teilnahme an der Lappland-Rallye  ,0.4869565217391304,Positive,Bottas,,,Germany
55,"  Hamilton in der WM-PK: ""Dankbar, dass wir Rennen fahren konnten""  ",0.5434782608695652,Positive,Hamilton,,,Germany
56,  Bewegendes Video: Racing Point schenkt Sergio Perez seinen Siegerpokal  ,0.49230769230769234,Positive,Perez,Racing Point,,Germany
57,  Sebastian Vettel: Wie ihm Hamilton über den Ferrari-Schock hinweggeholfen hat  ,0.39999999999999997,Positive,Hamilton,Vettel,Ferrari,Germany
58,  Der Formel-1-Samstag im Rückblick: Best of Social Media  ,0.3,Positive,,,,Germany
59,  Verstappen bei WM-PK: Wäre sowieso nicht Weltmeister geworden  ,0.5846153846153845,Positive,Verstappen,,,Germany
60,  Gänsehaut-Momente vor der Webcam: Das war die FIA-Gala 2020!  ,0.3916666666666665,Positive,,,,Germany
61,  Abu Dhabi: Warum war Mercedes im Qualifying langsamer als 2019?  ,0.3225806451612903,Positive,Mercedes,,,Germany
62,  Cyril Abiteboul gibt zu: Renault wird Daniel Ricciardo vermissen  ,0.4000000000000001,Positive,Ricciardo,Renault,,Germany
63,"  Nach Alonso-Demo im R25: Formel 1 sollte daraus lernen, findet Wolff  ",0.3965116279069767,Positive,,,,Germany
