Index,Title,Sentiment,Class,Entity1
1,  Bildergalerie: Alle Formel-1-Autos von Sebastian Vettel  ,0.0,Neutral,Vettel
1,,0.0,,
1,,0.0,,
2,  Fotostrecke: Alle Formel-1-Autos von Ferrari seit 1950  ,0.0,Neutral,Ferrari
2,,0.0,,
2,,0.0,,
3,  Wegen Coronakrise: Formel 1 schlittert 2020 in finanziellen Rekordverlust  ,-0.26666666666666666,Negative,
3,,-0.26666666666666666,,
3,,-0.26666666666666666,,
4,"  Mika Salo rudert zurück: FIA-Ferrari-Aussagen wurden ""missverstanden""  ",-0.12777777777777777,Negative,Ferrari
4,,-0.12777777777777777,,
4,,-0.12777777777777777,,
5,"  Strafe in Monza: FIA-Kommissar verrät, wie die Hamilton-Aussprache ablief  ",-0.15957446808510636,Negative,Hamilton
5,,-0.15957446808510636,,
5,,-0.15957446808510636,,
6,  Was Ferraris Horrorsaison die Motorenhersteller für 2021 lehrt  ,0.31,Positive,Ferrari
6,,0.31,,
6,,0.31,,
7,  AlphaTauri: Hatten 2020 ein schnelleres Auto als Ferrari  ,0.49393939393939384,Positive,Ferrari
7,,0.49393939393939384,,AlphaTauri
7,,0.49393939393939384,,
8,  Haas-Teamchef über Grosjean: Nicht genügend Anerkennung erfahren  ,0.3,Positive,Grosjean
8,,0.3,,Haas
8,,0.3,,
9,"  Lance Stroll sieht 2020 trotz der Erfolge als ""Jahr der verpassten Chancen""  ",0.19,Positive,Stroll
9,,0.19,,
9,,0.19,,
10,  Ohne Handverband: Grosjean zeigt seine Wunden nach dem Feuerunfall  ,-0.2928571428571428,Negative,Grosjean
10,,-0.2928571428571428,,
10,,-0.2928571428571428,,
11,"  Nach P2 beim F1-Debüt: Magnussen erwartete, um den Titel zu kämpfen  ",0.4375,Positive,Magnussen
11,,0.4375,,
11,,0.4375,,
12,"  Daniel Ricciardo: Als ich zu Renault kam, war das Team unsicher  ",0.4904761904761904,Positive,Ricciardo
12,,0.4904761904761904,,Renault
12,,0.4904761904761904,,
13,"  Romain Grosjean: Für mich okay, wenn alle Videos veröffentlicht werden  ",0.14444444444444446,Neutral,Grosjean
13,,0.14444444444444446,,
13,,0.14444444444444446,,
14,  Lance Stroll: 2020er-Erfolge haben Selbstzweifel aus dem Weg geräumt  ,0.38444444444444437,Positive,Stroll
14,,0.38444444444444437,,
14,,0.38444444444444437,,
15,  Tost: AlphaTauri-Saison 2020 übertrifft die Erfolge mit Vettel 2008  ,0.7666666666666666,Positive,Vettel
15,,0.7666666666666666,,AlphaTauri
15,,0.7666666666666666,,
16,  Nur drei Reifen beim Stopp von Bottas: Ist das eigentlich erlaubt?  ,0.29500000000000004,Positive,Bottas
16,,0.29500000000000004,,
16,,0.29500000000000004,,
17,  Rennfahren mit Mandelentzündung: Latifis persönlicher Horror-Grand-Prix  ,-0.2222222222222222,Negative,Latifi
17,,-0.2222222222222222,,
17,,-0.2222222222222222,,
18,  Pierre Gasly: 2020 mein bisher bestes Jahr in der Formel 1  ,0.44411764705882345,Positive,Gasly
18,,0.44411764705882345,,
18,,0.44411764705882345,,
19,"  Sainz blickt auf McLaren-Jahre zurück: ""Mehr denn je Spaß am Rennfahren""  ",0.5187499999999999,Positive,Sainz
19,,0.5187499999999999,,McLaren
19,,0.5187499999999999,,
20,  Möglichen Sieg verloren: Wie Stroll sein Istanbul-Rennen im Nachhinein sieht  ,0.5076923076923077,Positive,Stroll
20,,0.5076923076923077,,
20,,0.5076923076923077,,
21,"  Russell: Durch Rad-an-Rad-Duelle mit Vettel ""drastisch verbessert""  ",0.37142857142857144,Positive,Russell
21,,0.37142857142857144,,Vettel
21,,0.37142857142857144,,
22,  Verstappen: Probleme mit dem RB16 in den Medien oft dramatisiert  ,0.05172413793103448,Neutral,Verstappen
22,,0.05172413793103448,,
22,,0.05172413793103448,,
23,  Fahrerkleidung in der Formel 1: So überlebte Grosjean den Bahrain-Crash  ,0.021739130434782605,Neutral,Grosjean
23,,0.021739130434782605,,
23,,0.021739130434782605,,
24,  Zak Brown: Wie McLaren mit Carlos Sainz umgegangen ist  ,0.6176470588235294,Positive,Sainz
24,,0.6176470588235294,,McLaren
24,,0.6176470588235294,,
25,"  AlphaTauri: Mehr Punkte als je zuvor, aber trotzdem nur WM-Siebter  ",0.4733333333333332,Positive,AlphaTauri
25,,0.4733333333333332,,
25,,0.4733333333333332,,
26,  Romain Grosjean erklärt: Darum habe ich Kwjat nicht gesehen  ,-0.11935483870967742,Negative,Grosjean
