Index,Title,Sentiment,Class,Entity1,Entity2,Entity3
1,  Bildergalerie: Alle Formel-1-Autos von Sebastian Vettel  ,0.0,Neutral,Vettel,,
2,  Fotostrecke: Alle Formel-1-Autos von Ferrari seit 1950  ,0.0,Neutral,Ferrari,,
3,  Wegen Coronakrise: Formel 1 schlittert 2020 in finanziellen Rekordverlust  ,-0.26666666666666666,Negative,,,
4,"  Mika Salo rudert zurück: FIA-Ferrari-Aussagen wurden ""missverstanden""  ",-0.12777777777777777,Negative,Ferrari,,
5,"  Strafe in Monza: FIA-Kommissar verrät, wie die Hamilton-Aussprache ablief  ",-0.15957446808510636,Negative,Hamilton,,
6,  Was Ferraris Horrorsaison die Motorenhersteller für 2021 lehrt  ,0.31,Positive,Ferrari,,
7,  AlphaTauri: Hatten 2020 ein schnelleres Auto als Ferrari  ,0.49393939393939384,Positive,Ferrari,AlphaTauri,
8,  Haas-Teamchef über Grosjean: Nicht genügend Anerkennung erfahren  ,0.3,Positive,Grosjean,Haas,
9,"  Lance Stroll sieht 2020 trotz der Erfolge als ""Jahr der verpassten Chancen""  ",0.19,Positive,Stroll,,
10,  Ohne Handverband: Grosjean zeigt seine Wunden nach dem Feuerunfall  ,-0.2928571428571428,Negative,Grosjean,,
11,"  Nach P2 beim F1-Debüt: Magnussen erwartete, um den Titel zu kämpfen  ",0.4375,Positive,Magnussen,,
12,"  Daniel Ricciardo: Als ich zu Renault kam, war das Team unsicher  ",0.4904761904761904,Positive,Ricciardo,Renault,
13,"  Romain Grosjean: Für mich okay, wenn alle Videos veröffentlicht werden  ",0.14444444444444446,Neutral,Grosjean,,
14,  Lance Stroll: 2020er-Erfolge haben Selbstzweifel aus dem Weg geräumt  ,0.38444444444444437,Positive,Stroll,,
15,  Tost: AlphaTauri-Saison 2020 übertrifft die Erfolge mit Vettel 2008  ,0.7666666666666666,Positive,Vettel,AlphaTauri,
16,  Nur drei Reifen beim Stopp von Bottas: Ist das eigentlich erlaubt?  ,0.29500000000000004,Positive,Bottas,,
17,  Rennfahren mit Mandelentzündung: Latifis persönlicher Horror-Grand-Prix  ,-0.2222222222222222,Negative,Latifi,,
18,  Pierre Gasly: 2020 mein bisher bestes Jahr in der Formel 1  ,0.44411764705882345,Positive,Gasly,,
19,"  Sainz blickt auf McLaren-Jahre zurück: ""Mehr denn je Spaß am Rennfahren""  ",0.5187499999999999,Positive,Sainz,McLaren,
20,  Möglichen Sieg verloren: Wie Stroll sein Istanbul-Rennen im Nachhinein sieht  ,0.5076923076923077,Positive,Stroll,,
21,"  Russell: Durch Rad-an-Rad-Duelle mit Vettel ""drastisch verbessert""  ",0.37142857142857144,Positive,Russell,Vettel,
22,  Verstappen: Probleme mit dem RB16 in den Medien oft dramatisiert  ,0.05172413793103448,Neutral,Verstappen,,
23,  Fahrerkleidung in der Formel 1: So überlebte Grosjean den Bahrain-Crash  ,0.021739130434782605,Neutral,Grosjean,,
24,  Zak Brown: Wie McLaren mit Carlos Sainz umgegangen ist  ,0.6176470588235294,Positive,Sainz,McLaren,
25,"  AlphaTauri: Mehr Punkte als je zuvor, aber trotzdem nur WM-Siebter  ",0.4733333333333332,Positive,AlphaTauri,,
26,  Romain Grosjean erklärt: Darum habe ich Kwjat nicht gesehen  ,-0.11935483870967742,Negative,Grosjean,,
27,"  Nico Rosberg besorgt: Klimakrise die ""größte Bedrohung für die Menschheit""  ",0.584,Positive,,,
28,  Queen macht es offiziell: Lewis Hamilton ist jetzt ein Sir!  ,0.8352941176470589,Positive,Hamilton,,
29,  Programm für Silvester: Video-Jahresrückblick mit Surer & Wurz  ,0.48125,Positive,,,
30,"  Toto Wolff: Neues Motorenreglement bis Mitte 2022 ist ""machbar""  ",0.775,Positive,,,
31,  McLaren-Bromance: Sainz und Norris über das Geheimnis ihrer Freundschaft  ,0.5956521739130434,Positive,Sainz,Norris,McLaren
32,"  Helmut Marko exklusiv (3/3): Bottas ist in Bahrain ""Mist zusammengefahren""  ",0.3499999999999999,Positive,Bottas,,
33,"  Helmut Marko über Daniil Kwjat: ""Kein Thema mehr"" für Red Bull  ",0.2814814814814815,Positive,Red Bull,,
34,  Jos Verstappen: Le-Mans-Start mit Max nur wenn ich gut genug bin  ,0.7333333333333334,Positive,Verstappen,,
35,  Andreas Seidl: Warum 2020 für McLaren doppelt anstrengend war  ,0.6863636363636364,Positive,McLaren,,
36,  Sebastian Vettel: Die Welt sollte mehr auf Greta Thunberg hören  ,0.4166666666666666,Positive,Vettel,,
37,  Charles Leclerc: 2020 war meine bisher beste Saison in der Formel 1  ,0.5857142857142857,Positive,Leclerc,,
38,"  Helmut Marko exklusiv (1/3): Eigener Red-Bull-Motor ""bei 80, 85 Prozent""  ",0.27678571428571425,Positive,,,
39,  Helmut Marko: Daran ist Alexander Albon gescheitert  ,0.10952380952380951,Neutral,Albon,,
40,  McLaren-Juniorprogramm ohne Fahrer: Was Zak Brown anders macht  ,0.6799999999999999,Positive,McLaren,,
41,  George Russell: Mein Fahrstil hat mir im Mercedes geschadet  ,0.16785714285714284,Positive,Russell,Mercedes,
42,  Frank Williams am Heiligabend aus dem Krankenhaus entlassen  ,0.45999999999999996,Positive,Williams,,
43,  Teamchefs und Fahrer wählen Top-10-Piloten 2020  ,0.6714285714285715,Positive,,,
