Index,Title,Sentiment,Class,Entity1
1,  Crash de Grosjean : la FIA dévoile son rapport d'enquête  ,0.08320652173913042,Neutral,Grosjean
1,,0.08320652173913042,,
1,,0.08320652173913042,,
2,  Ce qui s'est dit entre Hamilton et les commissaires à Monza  ,0.0357,Neutral,Hamilton
2,,0.0357,,
2,,0.0357,,
3,  L'audience TV de la F1 s'est plutôt maintenue malgré la crise  ,0.11515151515151513,Neutral,
3,,0.11515151515151513,,
3,,0.11515151515151513,,
4,  La Formule 1 veut deux Grands Prix aux États-Unis  ,0.12431999999999999,Neutral,
4,,0.12431999999999999,,
4,,0.12431999999999999,,
5,"  Massa se remémore Schumacher, 2008 et son accident  ",0.11350000000000002,Neutral,
5,,0.11350000000000002,,
5,,0.11350000000000002,,
6,  McLaren a demandé les résultats de Brawn GP en soufflerie en 2009  ,0.13443478260869562,Neutral,McLaren
6,,0.13443478260869562,,
6,,0.13443478260869562,,
7,  GP d'Australie : décision à prendre en juin au plus tard  ,0.04878947368421052,Neutral,
7,,0.04878947368421052,,
7,,0.04878947368421052,,
8,"  Stroll : ""Beaucoup d'opportunités manquées"" en 2020  ",0.2381388888888889,Positive,Stroll
8,,0.2381388888888889,,
8,,0.2381388888888889,,
9,"  Hamilton : Les ingénieurs McLaren ""ne m'ont jamais écouté""  ",0.21531250000000002,Positive,Hamilton
9,,0.21531250000000002,,McLaren
9,,0.21531250000000002,,
10,  F1 2020 : les notes que vous avez attribuées aux pilotes  ,0.001999999999999999,Neutral,
10,,0.001999999999999999,,
10,,0.001999999999999999,,
11,  Les méthodes de travail de Schumacher impressionnent Steiner  ,0.19142857142857148,Positive,
11,,0.19142857142857148,,
11,,0.19142857142857148,,
12,  Le directeur sans ego qui tire McLaren vers le haut  ,0.13214285714285715,Neutral,McLaren
12,,0.13214285714285715,,
12,,0.13214285714285715,,
13,  Bilan 2020 - La lueur de l'étoile Räikkönen se tarit  ,0.17726415094339623,Positive,
13,,0.17726415094339623,,
13,,0.17726415094339623,,
14,  AlphaTauri : Les réussites 2020 surpassent celles de 2008 avec Vettel  ,0.26394642857142864,Positive,Vettel
14,,0.26394642857142864,,AlphaTauri
14,,0.26394642857142864,,
15,  Bilan 2020 - Carlos Sainz est désormais un cadre  ,0.12560240963855426,Neutral,Sainz
15,,0.12560240963855426,,
15,,0.12560240963855426,,
16,  Bilan 2020 - Russell avait les crocs  ,0.181875,Positive,Russell
16,,0.181875,,
16,,0.181875,,
17,  Motorsport Images aide Ferrari pour un livre célébrant son 1000e GP  ,0.3252631578947368,Positive,Ferrari
17,,0.3252631578947368,,
17,,0.3252631578947368,,
18,  Bilan 2020 - Le dernier tour de piste de Magnussen ?  ,-0.017908163265306126,Negative,Magnussen
18,,-0.017908163265306126,,
18,,-0.017908163265306126,,
19,"  Verstappen : Les défauts de la Red Bull ""amplifiés dans les médias""  ",0.0702142857142857,Neutral,Verstappen
19,,0.0702142857142857,,Red Bull
19,,0.0702142857142857,,
20,  Bilan 2020 - Le rocher Leclerc tremble mais ne se fissure pas  ,0.1073095238095238,Neutral,Leclerc
20,,0.1073095238095238,,
20,,0.1073095238095238,,
21,  Bilan 2020 - Giovinazzi a soutenu la comparaison avec Räikkönen  ,0.1423846153846154,Neutral,Giovinazzi
21,,0.1423846153846154,,
21,,0.1423846153846154,,
22,  Bilan 2020 - Le diamant Verstappen est-il suffisamment poli ?  ,0.09206129807692308,Neutral,Verstappen
22,,0.09206129807692308,,
22,,0.09206129807692308,,
23,  Bilan 2020 - Avertissement sans frais pour Ocon avant Alonso  ,0.09607692307692306,Neutral,Ocon
23,,0.09607692307692306,,
23,,0.09607692307692306,,
24,  Bilan 2020 - Pérez : d'une haie d'épines sort la rose !  ,0.11283018867924532,Neutral,
24,,0.11283018867924532,,
24,,0.11283018867924532,,
25,  Red Bull : Russell a un contrat de 10 ans avec Mercedes  ,0.2073809523809524,Positive,Russell
25,,0.2073809523809524,,Red Bull
25,,0.2073809523809524,,Mercedes
26,"  Bilan 2020 - Latifi, le paradoxe Williams  ",0.04563207547169812,Neutral,Latifi
26,,0.04563207547169812,,Williams
26,,0.04563207547169812,,
27,"  Bilan 2020 - Ricciardo/Renault, pas tatoué à l'encre indélébile  ",0.07939655172413794,Neutral,Ricciardo
27,,0.07939655172413794,,Renault
27,,0.07939655172413794,,
28,  Ces huit records impressionnants ont été battus en 2020  ,0.20025454545454546,Positive,
28,,0.20025454545454546,,
28,,0.20025454545454546,,
29,  Best of photos 2020 - La sélection de la rédaction  ,0.13792412935323395,Neutral,
29,,0.13792412935323395,,
29,,0.13792412935323395,,
30,  Quelle est la grille de départ idéale de la saison 2020 ?  ,0.07866666666666669,Neutral,
30,,0.07866666666666669,,
30,,0.07866666666666669,,
31,"  Bilan 2020 - Hamilton, la perfection n'est pas de ce monde  ",0.06127358490566037,Neutral,Hamilton
31,,0.06127358490566037,,
31,,0.06127358490566037,,
32,"  Désormais, ce sera Sir Lewis Hamilton !  ",0.11314285714285716,Neutral,Hamilton
32,,0.11314285714285716,,
32,,0.11314285714285716,,
33,  Le film du septième titre de Lewis Hamilton  ,0.11552011494252876,Neutral,Hamilton
33,,0.11552011494252876,,
33,,0.11552011494252876,,
34,"  Bilan 2020 - Kvyat, dans l’ombre de Gasly  ",0.09365384615384618,Neutral,Gasly
34,,0.09365384615384618,,Kvyat
34,,0.09365384615384618,,
35,"  Webber et le ""timing affreux"" de la pige de Russell pour Hamilton  ",0.1394,Neutral,Russell
35,,0.1394,,Hamilton
35,,0.1394,,
36,"  Leclerc pense que 2020 est sa ""meilleure saison en F1""  ",0.0,Neutral,Leclerc
36,,0.0,,
36,,0.0,,
37,  Quiz - Connaissez-vous tous les Champions du monde de F1 ?  ,0.125,Neutral,
37,,0.125,,
37,,0.125,,
38,"  Bilan 2020 - Hülkenberg, intérimaire de luxe  ",0.14602564102564103,Neutral,
38,,0.14602564102564103,,
38,,0.14602564102564103,,
39,  Le récital turc de Lewis Hamilton restera sa performance de l'année  ,0.1658378378378378,Positive,Hamilton
39,,0.1658378378378378,,
39,,0.1658378378378378,,
40,  Bilan 2020 - Gasly a fait résonner la Marseillaise  ,0.1405,Neutral,Gasly
40,,0.1405,,
40,,0.1405,,
41,  Bilan 2020 - L'épée de Damoclès est tombée sur Albon  ,0.09591463414634144,Neutral,Albon
41,,0.09591463414634144,,
41,,0.09591463414634144,,
42,  Hamilton promet d'être plus vigilant sur les pénalités  ,0.0826470588235294,Neutral,Hamilton
42,,0.0826470588235294,,
42,,0.0826470588235294,,
43,"  Bilan 2020 - Bottas, au bord du KO  ",0.04764516129032259,Neutral,Bottas
43,,0.04764516129032259,,
43,,0.04764516129032259,,
44,  Les pilotes du jour de la saison 2020 de F1  ,0.21142857142857138,Positive,
44,,0.21142857142857138,,
44,,0.21142857142857138,,
45,  Bilan 2020 - La révérence du phénix Romain Grosjean  ,0.05413793103448275,Neutral,Grosjean
45,,0.05413793103448275,,
45,,0.05413793103448275,,
46,  Connaissez-vous tous les Français en F1 ?  ,0.14250000000000002,Neutral,
46,,0.14250000000000002,,
46,,0.14250000000000002,,
47,  Frank Williams a quitté l'hôpital  ,0.183,Positive,Williams
47,,0.183,,
47,,0.183,,
48,  Le GP de Turquie désigné Grand Prix de l'année en F1  ,0.25447058823529417,Positive,
48,,0.25447058823529417,,
48,,0.25447058823529417,,
