Index,Title,Sentiment,Class,Entity1,Entity2,Entity3
1,  Crash de Grosjean : la FIA dévoile son rapport d'enquête  ,0.08320652173913042,Neutral,Grosjean,,
2,  Ce qui s'est dit entre Hamilton et les commissaires à Monza  ,0.0357,Neutral,Hamilton,,
3,  L'audience TV de la F1 s'est plutôt maintenue malgré la crise  ,0.11515151515151513,Neutral,,,
4,  La Formule 1 veut deux Grands Prix aux États-Unis  ,0.12431999999999999,Neutral,,,
5,"  Massa se remémore Schumacher, 2008 et son accident  ",0.11350000000000002,Neutral,,,
6,  McLaren a demandé les résultats de Brawn GP en soufflerie en 2009  ,0.13443478260869562,Neutral,McLaren,,
7,  GP d'Australie : décision à prendre en juin au plus tard  ,0.04878947368421052,Neutral,,,
8,"  Stroll : ""Beaucoup d'opportunités manquées"" en 2020  ",0.2381388888888889,Positive,Stroll,,
9,"  Hamilton : Les ingénieurs McLaren ""ne m'ont jamais écouté""  ",0.21531250000000002,Positive,Hamilton,McLaren,
10,  F1 2020 : les notes que vous avez attribuées aux pilotes  ,0.001999999999999999,Neutral,,,
11,  Les méthodes de travail de Schumacher impressionnent Steiner  ,0.19142857142857148,Positive,,,
12,  Le directeur sans ego qui tire McLaren vers le haut  ,0.13214285714285715,Neutral,McLaren,,
13,  Bilan 2020 - La lueur de l'étoile Räikkönen se tarit  ,0.17726415094339623,Positive,,,
14,  AlphaTauri : Les réussites 2020 surpassent celles de 2008 avec Vettel  ,0.26394642857142864,Positive,Vettel,AlphaTauri,
15,  Bilan 2020 - Carlos Sainz est désormais un cadre  ,0.12560240963855426,Neutral,Sainz,,
16,  Bilan 2020 - Russell avait les crocs  ,0.181875,Positive,Russell,,
17,  Motorsport Images aide Ferrari pour un livre célébrant son 1000e GP  ,0.3252631578947368,Positive,Ferrari,,
18,  Bilan 2020 - Le dernier tour de piste de Magnussen ?  ,-0.017908163265306126,Negative,Magnussen,,
19,"  Verstappen : Les défauts de la Red Bull ""amplifiés dans les médias""  ",0.0702142857142857,Neutral,Verstappen,Red Bull,
20,  Bilan 2020 - Le rocher Leclerc tremble mais ne se fissure pas  ,0.1073095238095238,Neutral,Leclerc,,
