Index,Title,Sentiment,Class,Entity1,Entity2,Entity3
1,  FIA rondt onderzoek crash Grosjean af: Dit veroorzaakte de enorme vlammenzee  ,0.3069444444444444,Positive,Grosjean,,
2,"  Tost: ""Perez weet dat hij geen kans maakt tegen Verstappen""  ",0.24133333333333332,Positive,Verstappen,Perez,
3,  Ferrari laat motor draaien en prikt datum voor onthulling SF21  ,0.20714285714285716,Positive,Ferrari,,
4,  F1-coureur Alonso in ziekenhuis na aanrijding op racefiets  ,0.014583333333333327,Neutral,,,
5,  Belangstelling voor Formule 1 neemt weer toe in Nederland  ,0.21627450980392154,Positive,,,
6,  Ferrari-topman ontevreden: “Moeten met nederigheid opnieuw beginnen”  ,0.16659090909090912,Positive,Ferrari,,
7,  Binotto voelt zich gesteund: “Maar krijg niet eeuwig de tijd”  ,-0.03226190476190474,Negative,,,
8,  Tien F1-records die in 2020 werden verbroken  ,0.25376000000000004,Positive,,,
9,  F1 stelt besluit over bevriezen motorontwikkeling twee weken uit  ,0.04404761904761905,Neutral,,,
10,  Stroll baalt van ‘vele gemiste kansen’ tijdens F1-seizoen 2020  ,0.21637681159420294,Positive,Stroll,,
11,  FIA deelde in 2020 stuk minder geldboetes uit  ,0.07692307692307693,Neutral,,,
12,  Geen zorgen om anderhalve testdag voor Aston Martin bij Vettel  ,0.17217391304347823,Positive,Vettel,,
13,  Grosjean heeft geen probleem met vele herhalingen horrorcrash  ,0.11413043478260869,Neutral,Grosjean,,
14,  Latifi reed GP Spanje met amandelontsteking: “Vreesde voor corona”  ,0.019952380952380944,Neutral,Latifi,,
15,  Zekerheid over Renault-zitje voor 2021 hielp Ocon rust te bewaren  ,0.265515873015873,Positive,Ocon,Renault,
16,  Tost: AlphaTauri draaide in 2020 ‘veel beter’ seizoen dan in 2008  ,0.4501282051282051,Positive,AlphaTauri,,
17,  Hamilton looft mentaal sterke Bottas: “Hij klaagt en zeurt nooit”  ,0.18688888888888888,Positive,Hamilton,Bottas,
18,  Hoe de coronastop heeft bijgedragen aan dominant F1-seizoen Mercedes  ,0.2223579545454547,Positive,Mercedes,,
19,"  Marko rekent zich niet rijk: ""Mercedes ging niet voluit in slotrace""  ",0.14320707070707073,Neutral,Mercedes,,
20,  McLaren zag Norris op meerdere vlakken groeien als F1-coureur  ,0.2973456790123457,Positive,Norris,McLaren,
21,"  Tech: Nieuwe vloer in F1, wat betekent het voor Red Bull en Mercedes?  ",0.15793367346938775,Positive,Red Bull,Mercedes,
22,"  Interview Lewis Hamilton: 'Ik ben een racer, maar wil ook mensen helpen'  ",0.25021174863387985,Positive,Hamilton,,
23,  Latifi geeft zichzelf ruime voldoende voor debuutseizoen in F1  ,0.16627604166666665,Positive,Latifi,,
24,  Analyse: Wat betekent het voorbije F1-seizoen voor Red Bull in 2021?  ,0.11861111111111115,Neutral,Red Bull,,
25,  F1 strafpunten: Wie waren de engeltjes en bengeltjes in 2020?  ,0.17680555555555558,Positive,,,
26,  McLaren trots op de groei van ‘authentieke’ Norris  ,0.3018682795698926,Positive,Norris,McLaren,
27,  Raikkonen niet gefrustreerd na ‘absoluut teleurstellend’ 2020  ,0.1486206896551724,Neutral,Raikkonen,,
28,  Todt: “Dominantie Hamilton-Mercedes groter dan Schumacher-Ferrari”  ,0.2631159420289855,Positive,Hamilton,Mercedes,Ferrari
29,  F1-eindejaarsinterviews: Van Verstappen tot Lammers  ,0.168921568627451,Positive,Verstappen,,
30,  Head to head: Het Formule 1-seizoen 2020 in cijfers  ,0.20181818181818198,Positive,,,
