Source,Sentiment,Target
Hamilton_de,47.152934215060036,""
Verstappen_nl,45.67485484137392,""
Mercedes_de,27.95844023787196,""
Verstappen_de,26.415541864494756,""
Hamilton_nl,24.201731911977326,""
Vettel_de,22.419688819804506,""
McLaren_de,19.868128495243678,""
Red Bull_nl,19.642536307110152,""
Ferrari_de,19.4851472355805,""
Mercedes_nl,18.83189573199737,""
Bottas_de,17.688381143429375,""
Renault_de,15.457591427764813,""
Hamilton_fr,14.816788338417913,""
Ferrari_nl,13.14199848232725,""
Hamilton_en,13.086116187208617,""
Ricciardo_de,12.915036526213122,""
Hamilton_nl,11.197577171796079,Verstappen_nl
Ferrari_fr,11.16571018652207,""
Red Bull_de,11.126439008255774,""
Albon_de,10.755965502245408,""
Mercedes_fr,10.698506850989613,""
Vettel_de,10.57627621940533,Ferrari_de
Perez_de,9.680320376482362,""
Russell_de,8.980265891663873,""
Grosjean_de,8.555899282309657,""
Vettel_nl,8.480273910970396,""
Racing Point_de,8.220005278855032,""
Williams_de,8.209777571137103,""
Leclerc_de,8.001093823142316,Ferrari_de
Renault_fr,7.9307617232311545,""
Leclerc_de,7.860560698548873,""
McLaren_fr,7.797472477993257,""
Gasly_de,7.737448544054237,""
McLaren_nl,7.494005538562089,""
Verstappen_nl,7.232983579066865,Red Bull_nl
Ricciardo_nl,7.197889327777346,""
Williams_fr,7.084179368164754,""
Sainz_de,7.022383537661122,""
Racing Point_fr,6.802190002581043,""
Haas_de,6.664354097788563,""
Verstappen_fr,6.593481318093799,""
Hamilton_nl,6.485130468244746,Mercedes_nl
Albon_nl,6.4007411824007825,""
Verstappen_de,6.197600686350686,Mercedes_de
Hamilton_de,6.147089313238246,Bottas_de
Mercedes_en,6.118191293920354,""
Stroll_de,6.114175892109407,""
Williams_nl,5.987371363525912,""
Red Bull_fr,5.633475385398711,""
Leclerc_de,5.574260001372401,Vettel_de
Grosjean_de,5.554798363964187,Haas_de
Renault_nl,5.457242933276707,""
Verstappen_nl,5.294395030593252,Mercedes_nl
Verstappen_en,5.274561294068095,""
Grosjean_fr,5.137957105948943,""
Bottas_nl,5.0892724376454535,""
Ferrari_en,5.0835836665737135,""
Sainz_de,4.991696222594054,McLaren_de
AlphaTauri_de,4.987632896858902,""
Red Bull_de,4.947921124361701,Mercedes_de
Ricciardo_de,4.753746196891357,Renault_de
Racing Point_nl,4.744372444724178,""
Ocon_de,4.664831551691155,""
Magnussen_de,4.650780607021533,""
Vettel_nl,4.407945105932909,Ferrari_nl
Russell_de,4.247850667850668,Williams_de
Vettel_fr,4.2176984784483835,""
Hamilton_de,4.149174570562271,Mercedes_de
Gasly_fr,4.070075684570573,""
Ricciardo_fr,4.036800395303648,""
Grosjean_nl,4.021692013441301,""
Russell_nl,3.967894443860902,""
Norris_de,3.944161778718342,""
AlphaTauri_nl,3.8650123121987505,""
Grosjean_en,3.6520737207403644,""
Mercedes_de,3.6491377521849215,Racing Point_de
Perez_nl,3.648720311294552,""
Bottas_en,3.566732787790909,""
Verstappen_de,3.563667187264508,Red Bull_de
Red Bull_nl,3.5324101552625624,Mercedes_nl
Hamilton_en,3.520078359979957,Bottas_en
Norris_nl,3.507317787953403,""
Stroll_nl,3.4597538833752957,""
Leclerc_nl,3.4349295558248643,""
Leclerc_nl,3.4065322630624526,Vettel_nl
Ricciardo_de,3.402154771535472,Ocon_de
Bottas_fr,3.3977236621167313,""
Haas_nl,3.27988989720752,""
McLaren_en,3.2327994626832406,""
Sainz_nl,3.2276562454821818,""
Vettel_en,3.227428161041589,Ferrari_en
Gasly_nl,3.1971468376349637,""
Vettel_fr,3.1772928430203433,Ferrari_fr
Russell_de,3.0456147703647702,Hamilton_de
Norris_fr,3.0186433365400203,""
Hamilton_en,2.96473066404996,Mercedes_en
Perez_de,2.9230577536498585,Racing Point_de
Verstappen_nl,2.8972196662290135,Bottas_nl
Perez_nl,2.8592691312342176,Racing Point_nl
Haas_fr,2.7919358597294495,""
Bottas_de,2.78608962018573,Mercedes_de
AlphaTauri_fr,2.7694326569848804,""
Ricciardo_fr,2.755890409779739,Renault_fr
Alfa Romeo_fr,2.741563092365275,""
Mercedes_de,2.695548519840716,Ferrari_de
Russell_nl,2.6947255336471163,Williams_nl
Ricciardo_en,2.6412169222671498,""
Hamilton_fr,2.603248761885605,Mercedes_fr
Ocon_de,2.518708146649323,Renault_de
Leclerc_fr,2.5076723398532836,""
Bottas_en,2.4784380459254414,Mercedes_en
Hamilton_nl,2.460424147849834,Bottas_nl
Red Bull_fr,2.450063153139792,Mercedes_fr
Hamilton_de,2.449371559599449,Vettel_de
Russell_fr,2.4056033411239075,""
Racing Point_de,2.404444615374754,McLaren_de
Alfa Romeo_de,2.3965464459401207,""
Ocon_nl,2.37831671454033,""
Hamilton_de,2.3589989415618704,Verstappen_de
Stroll_fr,2.3120502695940037,""
Verstappen_nl,2.287469098275785,Albon_nl
Ocon_fr,2.280038302627485,""
Gasly_en,2.141033110412436,""
Stroll_de,2.093020683020683,Racing Point_de
Gasly_nl,2.071911748311365,Red Bull_nl
Ocon_nl,2.054941033080818,Renault_nl
Hamilton_fr,2.026184860549304,Bottas_fr
Norris_en,1.9997975972278244,""
Ricciardo_nl,1.907531853978544,Renault_nl
Ocon_fr,1.8954067362851268,Renault_fr
Albon_en,1.8103856039887996,Red Bull_en
Perez_en,1.7982440381990599,""
Albon_nl,1.7634333137775826,Red Bull_nl
Red Bull_en,1.7560994495670261,""
Norris_nl,1.7504099727782527,McLaren_nl
Mercedes_fr,1.736496400843305,Racing Point_fr
Norris_de,1.7118925786688943,McLaren_de
Sainz_de,1.7050053867700927,Racing Point_de
Hamilton_de,1.6627677546857067,Red Bull_de
Vettel_en,1.6442402300468226,""
Mercedes_nl,1.6110953794582823,Racing Point_nl
Leclerc_nl,1.600221882975214,Ferrari_nl
Kvyat_nl,1.5890625800625802,""
Leclerc_fr,1.584372762788702,Vettel_fr
Albon_fr,1.5531537652711074,Red Bull_fr
Sainz_fr,1.5363407780004932,""
Hamilton_nl,1.535422476682674,Red Bull_nl
Perez_en,1.5156279080353845,Racing Point_en
Verstappen_fr,1.4879852504539421,Red Bull_fr
Stroll_en,1.483626793439659,""
Sainz_en,1.4681138473944007,""
Williams_en,1.4598169531086198,""
Russell_en,1.4401676248308455,Williams_en
Russell_de,1.4348136040205004,Mercedes_de
Stroll_de,1.4330769230769231,Mercedes_de
Bottas_fr,1.4287837076834808,Mercedes_fr
Verstappen_de,1.4218313755532854,Albon_de
Perez_nl,1.4123190250434585,Red Bull_nl
Russell_en,1.4065797684608878,""
Verstappen_nl,1.3951801047515333,Perez_nl
Russell_nl,1.3945035026176136,Mercedes_nl
Racing Point_en,1.3614629623235421,""
Russell_fr,1.3535999126730118,Williams_fr
Grosjean_nl,1.3470756949896963,Haas_nl
Perez_de,1.3420304232804234,Mercedes_de
Grosjean_fr,1.3346119309675264,Haas_fr
Albon_fr,1.3189465480871985,""
Sainz_de,1.3165945945945945,Ferrari_de
Ricciardo_nl,1.2926825933075934,Red Bull_nl
Russell_fr,1.2780284716746042,Mercedes_fr
