Source,Target,Sentiment
2,0,11.197577171796079
5,15,10.57627621940533
11,15,8.001093823142316
0,6,7.232983579066865
2,10,6.485130468244746
3,4,6.197600686350686
1,13,6.147089313238246
11,5,5.574260001372401
20,45,5.554798363964187
0,10,5.294395030593252
17,14,4.991696222594054
16,4,4.947921124361701
7,19,4.753746196891357
21,22,4.407945105932909
9,42,4.247850667850668
1,4,4.149174570562271
4,29,3.6491377521849215
3,16,3.563667187264508
6,10,3.5324101552625624
12,54,3.520078359979957
39,21,3.4065322630624526
7,50,3.402154771535472
68,66,3.227428161041589
40,30,3.1772928430203433
9,1,3.0456147703647702
12,46,2.96473066404996
18,29,2.9230577536498585
0,55,2.8972196662290135
28,57,2.8592691312342176
13,4,2.78608962018573
35,43,2.755890409779739
4,15,2.695548519840716
24,58,2.6947255336471163
8,23,2.603248761885605
50,19,2.518708146649323
54,46,2.4784380459254414
2,55,2.460424147849834
37,23,2.450063153139792
1,5,2.449371559599449
29,14,2.404444615374754
1,3,2.3589989415618704
0,36,2.287469098275785
32,29,2.093020683020683
41,6,2.071911748311365
65,63,2.054941033080818
8,61,2.026184860549304
25,63,1.907531853978544
70,43,1.8954067362851268
82,77,1.8103856039887996
36,6,1.7634333137775826
59,44,1.7504099727782527
23,33,1.736496400843305
53,14,1.7118925786688943
17,29,1.7050053867700927
1,16,1.6627677546857067
10,57,1.6110953794582823
39,22,1.600221882975214
67,40,1.584372762788702
81,37,1.5531537652711074
2,6,1.535422476682674
74,93,1.5156279080353845
31,37,1.4879852504539421
52,98,1.4401676248308455
9,4,1.4348136040205004
32,4,1.4330769230769231
61,23,1.4287837076834808
3,27,1.4218313755532854
28,6,1.4123190250434585
0,28,1.3951801047515333
24,10,1.3945035026176136
48,47,1.3535999126730118
60,76,1.3470756949896963
18,4,1.3420304232804234
51,80,1.3346119309675264
17,15,1.3165945945945945
25,6,1.2926825933075934
48,23,1.2780284716746042
77,46,1.2697311085970244
62,57,1.2652723934216272
