Index,Title,Sentiment,Class,Entity1,Entity2,Entity3,Language
1,  Bildergalerie: Alle Formel-1-Autos von Sebastian Vettel  ,0.0,Neutral,Vettel,nan,nan,Germany
2,  Fotostrecke: Alle Formel-1-Autos von Ferrari seit 1950  ,0.0,Neutral,Ferrari,nan,nan,Germany
3,  Wegen Coronakrise: Formel 1 schlittert 2020 in finanziellen Rekordverlust  ,-0.26666666666666666,Negative,nan,nan,nan,Germany
4,"  Mika Salo rudert zurück: FIA-Ferrari-Aussagen wurden ""missverstanden""  ",-0.12777777777777777,Negative,Ferrari,nan,nan,Germany
5,"  Strafe in Monza: FIA-Kommissar verrät, wie die Hamilton-Aussprache ablief  ",-0.15957446808510636,Negative,Hamilton,nan,nan,Germany
6,  Was Ferraris Horrorsaison die Motorenhersteller für 2021 lehrt  ,0.31,Positive,Ferrari,nan,nan,Germany
7,  AlphaTauri: Hatten 2020 ein schnelleres Auto als Ferrari  ,0.49393939393939384,Positive,Ferrari,AlphaTauri,nan,Germany
8,  Haas-Teamchef über Grosjean: Nicht genügend Anerkennung erfahren  ,0.3,Positive,Grosjean,Haas,nan,Germany
9,"  Lance Stroll sieht 2020 trotz der Erfolge als ""Jahr der verpassten Chancen""  ",0.19,Positive,Stroll,nan,nan,Germany
10,  Ohne Handverband: Grosjean zeigt seine Wunden nach dem Feuerunfall  ,-0.2928571428571428,Negative,Grosjean,nan,nan,Germany
11,"  Nach P2 beim F1-Debüt: Magnussen erwartete, um den Titel zu kämpfen  ",0.4375,Positive,Magnussen,nan,nan,Germany
12,"  Daniel Ricciardo: Als ich zu Renault kam, war das Team unsicher  ",0.4904761904761904,Positive,Ricciardo,Renault,nan,Germany
13,"  Romain Grosjean: Für mich okay, wenn alle Videos veröffentlicht werden  ",0.14444444444444446,Neutral,Grosjean,nan,nan,Germany
14,  Lance Stroll: 2020er-Erfolge haben Selbstzweifel aus dem Weg geräumt  ,0.38444444444444437,Positive,Stroll,nan,nan,Germany
15,  Tost: AlphaTauri-Saison 2020 übertrifft die Erfolge mit Vettel 2008  ,0.7666666666666666,Positive,Vettel,AlphaTauri,nan,Germany
16,  Nur drei Reifen beim Stopp von Bottas: Ist das eigentlich erlaubt?  ,0.29500000000000004,Positive,Bottas,nan,nan,Germany
17,  Rennfahren mit Mandelentzündung: Latifis persönlicher Horror-Grand-Prix  ,-0.2222222222222222,Negative,Latifi,nan,nan,Germany
